IndicatorType	reportingperiod	orgunit	orgnunituid	mech_code	partner	operatingunit	psnu	indicator	sex	age	population	otherdisaggregate	numdenom	val
Custom	FY21 Q3	Matola	rPJ8B53FKqF	18280	FHI360	Mozambique	Matola	TX_NEW_VERIFY			People in prisons and other closed settings	Site Support Type: PEPFAR supported	Numerator	18
Custom	FY21 Q3	Matola	rPJ8B53FKqF	18280	FHI360	Mozambique	Matola	TX_NEW_VERIFY			People who inject drugs (PWID)	Site Support Type: PEPFAR supported	Numerator	4
Custom	FY21 Q3	Nacala	rzyQVCV9LjG	18280	FHI360	Mozambique	Nacala	PrEP_NEW_VERIFY			Female sex workers (FSW)	Site Support Type: PEPFAR supported	Numerator	101
Custom	FY21 Q3	Nacala	rzyQVCV9LjG	18280	FHI360	Mozambique	Nacala	PrEP_NEW_VERIFY			Men who have sex with men (MSM)	Site Support Type: PEPFAR supported	Numerator	58
Custom	FY21 Q3	Nacala	rzyQVCV9LjG	18280	FHI360	Mozambique	Nacala	PrEP_SCREEN			Female sex workers (FSW)	Site Support Type: PEPFAR supported	Numerator	234
Custom	FY21 Q3	Nacala	rzyQVCV9LjG	18280	FHI360	Mozambique	Nacala	PrEP_SCREEN			Men who have sex with men (MSM)	Site Support Type: PEPFAR supported	Numerator	163
Custom	FY21 Q3	Nacala	rzyQVCV9LjG	18280	FHI360	Mozambique	Nacala	TX_NEW_VERIFY			Female sex workers (FSW)	Site Support Type: PEPFAR supported	Numerator	75
Custom	FY21 Q3	Nacala	rzyQVCV9LjG	18280	FHI360	Mozambique	Nacala	TX_NEW_VERIFY			Men who have sex with men (MSM)	Site Support Type: PEPFAR supported	Numerator	61
Custom	FY21 Q3	Nampula	jwLNNIw1MjY	18280	FHI360	Mozambique	Nampula	PrEP_NEW_VERIFY			Female sex workers (FSW)	Site Support Type: PEPFAR supported	Numerator	321
Custom	FY21 Q3	Nampula	jwLNNIw1MjY	18280	FHI360	Mozambique	Nampula	PrEP_NEW_VERIFY			Men who have sex with men (MSM)	Site Support Type: PEPFAR supported	Numerator	178
Custom	FY21 Q3	Nampula	jwLNNIw1MjY	18280	FHI360	Mozambique	Nampula	PrEP_SCREEN			Female sex workers (FSW)	Site Support Type: PEPFAR supported	Numerator	356
Custom	FY21 Q3	Nampula	jwLNNIw1MjY	18280	FHI360	Mozambique	Nampula	PrEP_SCREEN			Men who have sex with men (MSM)	Site Support Type: PEPFAR supported	Numerator	320
Custom	FY21 Q3	Nampula	jwLNNIw1MjY	18280	FHI360	Mozambique	Nampula	TX_NEW_VERIFY			Female sex workers (FSW)	Site Support Type: PEPFAR supported	Numerator	89
Custom	FY21 Q3	Nampula	jwLNNIw1MjY	18280	FHI360	Mozambique	Nampula	TX_NEW_VERIFY			Men who have sex with men (MSM)	Site Support Type: PEPFAR supported	Numerator	69
Custom	FY21 Q3	Nampula	jwLNNIw1MjY	18280	FHI360	Mozambique	Nampula	TX_NEW_VERIFY			People in prisons and other closed settings	Site Support Type: PEPFAR supported	Numerator	20
Custom	FY21 Q3	Nlhamankulu	Pw3doHDr3sw	18280	FHI360	Mozambique	Nlhamankulu	TX_NEW_VERIFY			Female sex workers (FSW)	Site Support Type: PEPFAR supported	Numerator	22
Custom	FY21 Q3	Nlhamankulu	Pw3doHDr3sw	18280	FHI360	Mozambique	Nlhamankulu	TX_NEW_VERIFY			Men who have sex with men (MSM)	Site Support Type: PEPFAR supported	Numerator	24
Custom	FY21 Q3	Nlhamankulu	Pw3doHDr3sw	18280	FHI360	Mozambique	Nlhamankulu	TX_NEW_VERIFY			People who inject drugs (PWID)	Site Support Type: PEPFAR supported	Numerator	7
Custom	FY21 Q3	Quelimane	ZZlLKqhLyve	18280	FHI360	Mozambique	Quelimane	PrEP_NEW_VERIFY			Female sex workers (FSW)	Site Support Type: PEPFAR supported	Numerator	10
Custom	FY21 Q3	Quelimane	ZZlLKqhLyve	18280	FHI360	Mozambique	Quelimane	PrEP_NEW_VERIFY			Men who have sex with men (MSM)	Site Support Type: PEPFAR supported	Numerator	20
Custom	FY21 Q3	Quelimane	ZZlLKqhLyve	18280	FHI360	Mozambique	Quelimane	PrEP_SCREEN			Female sex workers (FSW)	Site Support Type: PEPFAR supported	Numerator	13
Custom	FY21 Q3	Quelimane	ZZlLKqhLyve	18280	FHI360	Mozambique	Quelimane	PrEP_SCREEN			Men who have sex with men (MSM)	Site Support Type: PEPFAR supported	Numerator	44
Custom	FY21 Q3	Quelimane	ZZlLKqhLyve	18280	FHI360	Mozambique	Quelimane	TX_NEW_VERIFY			Female sex workers (FSW)	Site Support Type: PEPFAR supported	Numerator	20
Custom	FY21 Q3	Quelimane	ZZlLKqhLyve	18280	FHI360	Mozambique	Quelimane	TX_NEW_VERIFY			Men who have sex with men (MSM)	Site Support Type: PEPFAR supported	Numerator	13
Custom	FY21 Q3	Quelimane	ZZlLKqhLyve	18280	FHI360	Mozambique	Quelimane	TX_NEW_VERIFY			People in prisons and other closed settings	Site Support Type: PEPFAR supported	Numerator	21
