Partner,Province,District,Health Facility,DATIM_code,SISMA_code,Type,Period,attribute,value,indicator
ARIEL,Cabo Delgado,Mecufi,Mecufi CS II,QRaKmOedEZx,1020706,ER_P2,2021-04-20,TX_CURR_W_TPT_last7Mo,121,Actively on TPT
ARIEL,Cabo Delgado,Mecufi,Mecufi CS II,QRaKmOedEZx,1020706,ER_P2,2021-04-20,TX_CURTot,835,TX_CURR
ARIEL,Cabo Delgado,Mecufi,Mecufi CS II,QRaKmOedEZx,1020706,ER_P2,2021-04-20,TPT_candidates,429,TPT Candidates
ARIEL,Cabo Delgado,Mecufi,Mecufi CS II,QRaKmOedEZx,1020706,ER_P2,2021-04-20,TPT_ineligible,18,TPT Ineligible
ARIEL,Cabo Delgado,Meluco,Meluco CS II,MA3CYGbUEaG,1020809,ER_P3,2021-04-20,TX_CURR_TPT_Com,49,TPT Completed
ARIEL,Cabo Delgado,Meluco,Meluco CS II,MA3CYGbUEaG,1020809,ER_P3,2021-04-20,TX_CURR_TB_tto,21,Recent Active TB TX
ARIEL,Cabo Delgado,Meluco,Meluco CS II,MA3CYGbUEaG,1020809,ER_P3,2021-04-20,TX_CURR_TPT_Not_Comp_POS_Screen,7,Recent Pos TB Screen
ARIEL,Cabo Delgado,Meluco,Meluco CS II,MA3CYGbUEaG,1020809,ER_P3,2021-04-20,TX_CURR_W_TPT_last7Mo,75,Actively on TPT
ARIEL,Cabo Delgado,Meluco,Meluco CS II,MA3CYGbUEaG,1020809,ER_P3,2021-04-20,TX_CURTot,546,TX_CURR
ARIEL,Cabo Delgado,Meluco,Meluco CS II,MA3CYGbUEaG,1020809,ER_P3,2021-04-20,TPT_candidates,394,TPT Candidates
ARIEL,Cabo Delgado,Meluco,Meluco CS II,MA3CYGbUEaG,1020809,ER_P3,2021-04-20,TPT_ineligible,28,TPT Ineligible
ARIEL,Cabo Delgado,Metuge,Metuge CS II,iL8UKqtpf9G,1021601,ER_P3,2021-04-20,TX_CURR_TPT_Com,301,TPT Completed
ARIEL,Cabo Delgado,Metuge,Metuge CS II,iL8UKqtpf9G,1021601,ER_P3,2021-04-20,TX_CURR_TB_tto,20,Recent Active TB TX
ARIEL,Cabo Delgado,Metuge,Metuge CS II,iL8UKqtpf9G,1021601,ER_P3,2021-04-20,TX_CURR_TPT_Not_Comp_POS_Screen,4,Recent Pos TB Screen
ARIEL,Cabo Delgado,Metuge,Metuge CS II,iL8UKqtpf9G,1021601,ER_P3,2021-04-20,TX_CURR_W_TPT_last7Mo,345,Actively on TPT
ARIEL,Cabo Delgado,Metuge,Metuge CS II,iL8UKqtpf9G,1021601,ER_P3,2021-04-20,TX_CURTot,961,TX_CURR
ARIEL,Cabo Delgado,Metuge,Metuge CS II,iL8UKqtpf9G,1021601,ER_P3,2021-04-20,TPT_candidates,291,TPT Candidates
ARIEL,Cabo Delgado,Metuge,Metuge CS II,iL8UKqtpf9G,1021601,ER_P3,2021-04-20,TPT_ineligible,24,TPT Ineligible
ARIEL,Cabo Delgado,Metuge,Mieze CS III,DQaEryfraV6,1021609,ER_P2,2021-04-20,TX_CURR_TPT_Com,170,TPT Completed
ARIEL,Cabo Delgado,Metuge,Mieze CS III,DQaEryfraV6,1021609,ER_P2,2021-04-20,TX_CURR_TB_tto,23,Recent Active TB TX
ARIEL,Cabo Delgado,Metuge,Mieze CS III,DQaEryfraV6,1021609,ER_P2,2021-04-20,TX_CURR_TPT_Not_Comp_POS_Screen,3,Recent Pos TB Screen
ARIEL,Cabo Delgado,Metuge,Mieze CS III,DQaEryfraV6,1021609,ER_P2,2021-04-20,TX_CURR_W_TPT_last7Mo,149,Actively on TPT
ARIEL,Cabo Delgado,Metuge,Mieze CS III,DQaEryfraV6,1021609,ER_P2,2021-04-20,TX_CURTot,744,TX_CURR
ARIEL,Cabo Delgado,Metuge,Mieze CS III,DQaEryfraV6,1021609,ER_P2,2021-04-20,TPT_candidates,399,TPT Candidates
ARIEL,Cabo Delgado,Metuge,Mieze CS III,DQaEryfraV6,1021609,ER_P2,2021-04-20,TPT_ineligible,26,TPT Ineligible
ARIEL,Cabo Delgado,Montepuez,Montepuez CSURB,qJsVouyMqE8,1021015,ER_P3,2021-04-20,TX_CURR_TPT_Com,698,TPT Completed
ARIEL,Cabo Delgado,Montepuez,Montepuez CSURB,qJsVouyMqE8,1021015,ER_P3,2021-04-20,TX_CURR_TB_tto,8,Recent Active TB TX
ARIEL,Cabo Delgado,Montepuez,Montepuez CSURB,qJsVouyMqE8,1021015,ER_P3,2021-04-20,TX_CURR_TPT_Not_Comp_POS_Screen,2,Recent Pos TB Screen
ARIEL,Cabo Delgado,Montepuez,Montepuez CSURB,qJsVouyMqE8,1021015,ER_P3,2021-04-20,TX_CURR_W_TPT_last7Mo,704,Actively on TPT
ARIEL,Cabo Delgado,Montepuez,Montepuez CSURB,qJsVouyMqE8,1021015,ER_P3,2021-04-20,TX_CURTot,2699,TX_CURR
ARIEL,Cabo Delgado,Montepuez,Montepuez CSURB,qJsVouyMqE8,1021015,ER_P3,2021-04-20,TPT_candidates,1287,TPT Candidates
ARIEL,Cabo Delgado,Montepuez,Montepuez CSURB,qJsVouyMqE8,1021015,ER_P3,2021-04-20,TPT_ineligible,10,TPT Ineligible
ARIEL,Cabo Delgado,Montepuez,Montepuez HR,J9JOpPQB23Y,1021001,ER_P2,2021-04-20,TX_CURR_TPT_Com,518,TPT Completed
ARIEL,Cabo Delgado,Montepuez,Montepuez HR,J9JOpPQB23Y,1021001,ER_P2,2021-04-20,TX_CURR_TB_tto,149,Recent Active TB TX
ARIEL,Cabo Delgado,Montepuez,Montepuez HR,J9JOpPQB23Y,1021001,ER_P2,2021-04-20,TX_CURR_TPT_Not_Comp_POS_Screen,9,Recent Pos TB Screen
ARIEL,Cabo Delgado,Montepuez,Montepuez HR,J9JOpPQB23Y,1021001,ER_P2,2021-04-20,TX_CURR_W_TPT_last7Mo,408,Actively on TPT
ARIEL,Cabo Delgado,Montepuez,Montepuez HR,J9JOpPQB23Y,1021001,ER_P2,2021-04-20,TX_CURTot,2610,TX_CURR
ARIEL,Cabo Delgado,Montepuez,Montepuez HR,J9JOpPQB23Y,1021001,ER_P2,2021-04-20,TPT_candidates,1526,TPT Candidates
ARIEL,Cabo Delgado,Montepuez,Montepuez HR,J9JOpPQB23Y,1021001,ER_P2,2021-04-20,TPT_ineligible,158,TPT Ineligible
